iter	Logloss
0	0.6895484767
1	0.6868944515
2	0.6856754386
3	0.6826002101
4	0.6790359586
5	0.676055175
6	0.6735879424
7	0.6718188659
8	0.6687917973
9	0.6665365119
10	0.6648022249
11	0.6625329825
12	0.6600919104
13	0.6568221888
14	0.6549296175
15	0.6528117509
16	0.6506876858
17	0.6486812793
18	0.6469595852
19	0.6441070087
20	0.6429360279
21	0.6408150803
22	0.6376440099
23	0.6357183004
24	0.6341190135
25	0.6312233558
26	0.6294051335
27	0.625925728
28	0.6240754187
29	0.6221919156
30	0.6193888329
31	0.6171157905
32	0.6146609451
33	0.6138997642
34	0.6129364338
35	0.6110974404
36	0.6090167232
37	0.6077209463
38	0.6055729018
39	0.6033183471
40	0.6021834206
41	0.6006513076
42	0.598795377
43	0.5977222257
44	0.5959262614
45	0.5935485158
46	0.5912742554
47	0.5893322957
48	0.5881089916
49	0.5860457374
50	0.5840282922
51	0.5820057563
52	0.5801590231
53	0.5784322695
54	0.5771300721
55	0.5755923527
56	0.5747296521
57	0.5739255515
58	0.573078159
59	0.5720463061
60	0.5705139132
61	0.5683721373
62	0.5678347079
63	0.5662928709
64	0.5654530606
65	0.5633780107
66	0.5623904273
67	0.5609055511
68	0.5593087413
69	0.5579325387
70	0.556782232
71	0.5558114171
72	0.5540724253
73	0.5528489817
74	0.5517124277
75	0.5507955545
76	0.5491825394
77	0.5482092842
78	0.5467123891
79	0.5458691455
80	0.5444210904
81	0.5436844499
82	0.5418649096
83	0.5404502276
84	0.5389740907
85	0.5379174924
86	0.5374297068
87	0.5358747884
88	0.5347782189
89	0.5332537905
90	0.5318092104
91	0.5297326784
92	0.5286837112
93	0.5278739711
94	0.5266239759
95	0.525033223
96	0.5239046064
97	0.5226597472
98	0.5210568827
99	0.5204923809
100	0.5195869436
101	0.5184352606
102	0.5169870879
103	0.5167217465
104	0.5154735835
105	0.5139398704
106	0.5120489041
107	0.5114497784
108	0.5104386643
109	0.5095696983
110	0.5086291717
111	0.5072758569
112	0.5069359593
113	0.5064779188
114	0.5059665812
115	0.5047224159
116	0.5035318875
117	0.5024795671
118	0.5013010657
119	0.5001553398
120	0.4987840042
121	0.4975978998
122	0.4964859276
123	0.4958336654
124	0.4946685635
125	0.4943673119
126	0.493248203
127	0.4917113491
128	0.4911102395
129	0.489814195
130	0.488419207
131	0.4876009847
132	0.4866076517
133	0.4856640017
134	0.4846009757
135	0.4834881793
136	0.4829440762
137	0.4817714689
138	0.4810851992
139	0.4795133952
140	0.4787797526
141	0.4779624063
142	0.476824405
143	0.4753572188
144	0.4745972818
145	0.4737787661
146	0.4733085083
147	0.4723834096
148	0.4717484937
149	0.470729659
150	0.470115901
151	0.4687869725
152	0.4673240864
153	0.4666467587
154	0.4654389184
155	0.4648276609
156	0.4640120802
157	0.4632232682
158	0.4625325842
159	0.4610073976
160	0.4602983463
161	0.4591338042
162	0.4582383762
163	0.457223847
164	0.4559331372
165	0.4553381473
166	0.4544834476
167	0.4535382899
168	0.4525077187
169	0.4519573554
170	0.4513816871
171	0.4506231787
172	0.4497599747
173	0.4483412265
174	0.4477423673
175	0.4468462363
176	0.4458138248
177	0.4454141203
178	0.4450859164
179	0.4446291306
180	0.4437977815
181	0.4429957261
182	0.4421326893
183	0.4416176165
184	0.4404383111
185	0.4392935996
186	0.4384635064
187	0.4374113915
188	0.4367871403
189	0.4357062922
190	0.4348991014
191	0.4344696009
192	0.4338123395
193	0.4331320277
194	0.432464394
195	0.4317632334
196	0.4307929327
197	0.4300344923
198	0.4286624868
199	0.4280654423
200	0.42761201
201	0.4265871325
202	0.4256063138
203	0.4247992441
204	0.4238359072
205	0.4231191799
206	0.4223509909
207	0.4214528918
208	0.4206335079
209	0.4195232443
210	0.4184713929
211	0.4177285322
212	0.4172785121
213	0.416496479
214	0.4155869984
215	0.4148840579
216	0.4138862648
217	0.4129538975
