iter	Passed	Remaining
0	167	250695
1	170	127671
2	174	86864
3	176	66093
4	181	54224
5	186	46320
6	189	40445
7	193	36084
8	197	32670
9	200	29892
10	204	27627
11	208	25795
12	211	24238
13	215	22916
14	220	21791
15	223	20759
16	227	19819
17	230	19001
18	235	18370
19	239	17730
20	249	17562
21	252	16992
22	256	16476
23	259	15976
24	263	15566
25	281	15974
26	285	15554
27	289	15196
28	293	14869
29	297	14563
30	301	14273
31	304	13956
32	308	13706
33	312	13469
34	316	13237
35	320	13029
36	324	12831
37	328	12620
38	331	12427
39	335	12251
40	339	12087
41	344	11970
42	349	11830
43	353	11698
44	358	11585
45	363	11480
46	368	11389
47	373	11283
48	376	11153
49	380	11047
50	384	10925
51	388	10825
52	392	10712
53	410	10994
54	414	10886
55	417	10774
56	421	10669
57	428	10644
58	433	10593
59	437	10502
60	442	10434
61	446	10359
62	451	10300
63	455	10213
64	458	10132
65	463	10062
66	467	9996
67	471	9934
68	477	9901
69	482	9859
70	488	9830
71	491	9757
72	497	9716
73	504	9727
74	510	9699
75	515	9666
76	519	9600
77	523	9543
78	526	9478
79	534	9480
80	537	9424
81	543	9404
82	549	9385
83	555	9366
84	559	9321
85	564	9274
86	567	9224
87	572	9188
88	576	9140
89	580	9093
90	585	9062
91	589	9017
92	593	8972
93	597	8939
94	601	8899
95	605	8855
96	610	8825
97	613	8782
98	617	8741
99	621	8698
100	625	8659
101	629	8631
102	635	8614
103	639	8585
104	644	8562
105	648	8532
106	652	8493
107	656	8455
108	659	8422
109	664	8393
110	669	8376
111	674	8360
112	678	8328
113	682	8297
114	686	8267
115	696	8312
116	701	8288
117	704	8251
118	708	8221
119	712	8188
120	715	8150
121	718	8120
122	722	8087
123	726	8061
124	734	8081
125	738	8048
126	741	8021
127	746	8000
128	749	7967
129	753	7938
130	758	7924
131	762	7904
132	766	7879
133	770	7852
134	773	7822
135	777	7798
136	781	7774
137	786	7757
138	790	7736
139	794	7715
140	797	7690
141	802	7674
142	805	7647
143	809	7622
144	812	7596
145	816	7570
146	819	7543
147	824	7527
148	827	7501
149	831	7479
150	835	7466
151	843	7476
152	846	7455
153	850	7430
154	854	7415
155	858	7393
156	861	7370
157	864	7346
158	868	7325
159	872	7306
160	876	7292
161	892	7372
162	896	7354
163	900	7335
164	903	7311
165	907	7292
166	922	7366
167	926	7347
168	929	7323
169	934	7312
170	938	7295
171	942	7279
172	946	7258
173	950	7241
174	953	7218
175	957	7201
176	961	7186
177	965	7170
178	970	7162
179	973	7142
180	977	7126
181	981	7109
182	985	7094
183	990	7084
184	994	7070
185	999	7060
186	1003	7047
187	1007	7030
188	1011	7015
189	1014	6997
190	1019	6985
191	1023	6972
192	1028	6964
193	1033	6954
194	1037	6942
195	1040	6925
196	1044	6910
197	1048	6891
198	1051	6876
199	1055	6862
200	1060	6853
201	1064	6841
202	1068	6829
203	1073	6818
204	1077	6808
205	1081	6790
206	1084	6777
207	1088	6762
208	1092	6749
209	1098	6744
210	1101	6731
211	1105	6717
212	1110	6709
213	1115	6701
214	1119	6689
215	1123	6679
216	1128	6670
217	1131	6656
218	1136	6644
219	1142	6646
220	1146	6633
221	1151	6631
222	1157	6627
223	1162	6624
224	1168	6621
225	1172	6607
226	1176	6599
227	1181	6589
228	1184	6575
229	1188	6561
230	1192	6551
231	1197	6545
232	1201	6532
233	1205	6523
234	1209	6508
235	1213	6501
236	1217	6488
237	1222	6480
238	1227	6474
239	1230	6462
240	1235	6452
241	1238	6440
