iter	Passed	Remaining
0	3	605
1	5	549
2	8	532
3	10	507
4	13	510
5	15	510
6	18	510
7	21	504
8	23	496
9	25	488
10	28	491
11	31	489
12	33	487
13	36	481
14	39	481
15	41	479
16	44	474
17	47	477
18	50	478
19	53	480
20	55	475
21	58	473
22	61	474
23	64	473
24	67	471
25	69	467
26	73	471
27	75	465
28	78	462
29	80	458
30	83	454
31	85	450
32	88	447
33	91	446
34	94	443
35	96	440
36	99	438
37	102	435
38	104	432
39	107	428
40	109	426
41	112	423
42	115	421
43	117	417
44	120	415
45	123	412
46	126	410
47	128	406
48	130	403
49	133	400
50	136	397
51	138	394
52	141	393
53	144	391
54	147	389
55	150	387
56	153	385
57	156	383
58	159	382
59	162	379
60	165	376
61	168	374
62	170	371
63	173	368
64	176	366
65	178	362
66	181	360
67	184	357
68	186	353
69	189	351
70	191	348
71	194	345
72	196	342
73	199	339
74	201	336
75	205	334
76	207	331
77	210	329
78	213	326
79	216	324
80	219	322
81	222	320
82	225	317
83	227	314
84	230	311
85	233	309
86	237	307
87	239	305
88	242	302
89	245	299
90	247	296
91	250	293
92	252	290
93	255	287
94	257	284
95	260	282
96	263	279
97	265	276
98	269	274
99	271	271
100	274	269
101	276	265
102	279	263
103	282	260
104	285	258
105	288	255
106	292	253
107	294	250
108	297	248
109	299	245
110	302	242
111	304	239
112	307	236
113	310	233
114	313	231
115	316	228
116	319	226
117	321	223
118	323	220
119	325	217
120	328	214
121	333	213
122	336	210
123	339	207
124	341	205
125	344	202
126	346	199
127	350	196
128	352	194
129	355	191
130	358	188
131	360	185
132	364	183
133	367	180
134	369	178
135	372	175
136	374	172
137	378	170
138	381	167
139	384	164
140	386	161
141	389	159
142	392	156
143	395	153
144	398	151
145	400	148
146	402	145
147	405	142
148	407	139
149	409	136
150	412	133
151	414	131
152	417	128
153	419	125
154	422	122
155	425	119
156	428	117
157	431	114
158	433	111
159	437	109
160	439	106
161	442	103
162	445	101
163	448	98
164	451	95
165	453	92
166	456	90
167	459	87
168	461	84
169	464	81
170	466	79
171	469	76
172	472	73
173	475	71
174	477	68
175	480	65
176	484	62
177	487	60
178	490	57
179	492	54
180	495	52
181	498	49
182	501	46
183	503	43
184	505	41
185	508	38
186	511	35
187	513	32
188	516	30
189	518	27
190	522	24
191	524	21
192	527	19
193	530	16
194	532	13
195	535	10
196	537	8
197	540	5
198	545	2
199	548	0
